Question,Answer
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna’s academic structure is designed to promote interdisciplinary learning. Students are encouraged to take elective courses outside their core departments, such as courses in humanities, management, or emerging technologies like blockchain, quantum computing, and sustainable engineering. This ensures a well-rounded education and broadens their intellectual horizons. </CONTEXT> 
 <QUESTION> Name another emerging technology offered as an elective at IIT Patna, different from blockchain. </QUESTION>",Quantum computing is another emerging technology offered as an elective.
What student characteristic benefits from the use of English at IIT Patna?,Students from diverse backgrounds benefit from the use of English at IIT Patna.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna’s marking scheme for project-based courses includes evaluation criteria such as innovation, technical feasibility, teamwork, presentation skills, and the quality of the final deliverable. This ensures holistic assessment of student efforts. </CONTEXT> 
 <QUESTION> How does IIT Patna's marking scheme address the communication of project findings and outcomes? </QUESTION>",IIT Patna's marking scheme addresses the communication of project findings and outcomes through the evaluation of presentation skills.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The eligibility criteria for M.Tech in Mechanical Engineering at IIT Patna requires candidates to have a B.Tech/B.E. in Aerospace, Aeronautical, Automobile, Production, Manufacturing, or Mechanical Engineering, along with a valid GATE score in either Aerospace Engineering (AE), Mechanical Engineering (ME), or Production and Industrial Engineering (PI)[3]. </CONTEXT> 
 <QUESTION> If a candidate has a valid GATE score in Computer Science Engineering, can they apply for this M.Tech program? Why or why not? </QUESTION>","No, a candidate with a GATE score in Computer Science Engineering cannot apply. The acceptable GATE scores are only in Aerospace Engineering (AE), Mechanical Engineering (ME), and Production and Industrial Engineering (PI)."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The M.Tech program in Computer Science and Engineering at IIT Patna has a well-structured curriculum spanning four semesters. The first semester includes core courses like Foundations of Computer Systems (CS-541), which covers computer architecture, operating systems, and computer networks, with topics ranging from RISC and CISC paradigms to distributed networked systems[1]. </CONTEXT> 
 <QUESTION> Which computer architecture paradigms are covered in Foundations of Computer Systems (CS-541)? </QUESTION>",The computer architecture paradigms covered include RISC and CISC.
"What specific type of event is a key feature of the ""Celesta"" fest at IIT Patna?","A key feature of the ""Celesta"" fest at IIT Patna is technical exhibitions."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The M.Tech program in Electrical and Electronics Engineering (Power and Control Systems) at IIT Patna has a comprehensive first-semester curriculum including core courses like Computer Aided Power System Analysis (EE 571) and Basics of Power Electronics Converters (EE 573), along with three electives, a laboratory course, and Technical Communications (HSS 513)[2]. </CONTEXT> 
 <QUESTION> What is the name of the course specifically focused on communication skills and is its course code? </QUESTION>",Technical Communications (HSS 513) is the course focused on communication skills.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The second-semester core theory course Foundations of Theoretical Computer Science (CS511) in the M.Tech CSE program covers discrete structures (sets, relations, functions), proof techniques, algebraic structures, morphisms, posets, lattices, Boolean algebras, propositional and predicate calculus, and automata theory. </CONTEXT> 
 <QUESTION> Give an example of a mathematical concept related to algebraic structures covered in the course. </QUESTION>",An example of a mathematical concept related to algebraic structures covered in CS511 is morphisms.
What does the context suggest is the primary goal of the individuals who pursue these Executive MBA programs?,The context suggests that the primary goal is to obtain advanced education.
Can you provide an example of a specific state-of-the-art instrument found in a mechanical lab at IIT Patna?,A CNC machine is an example of a state-of-the-art instrument found in mechanical labs at IIT Patna.
"Specifically, which engineering discipline at IIT Patna offers a course in Environmental Engineering?","While the context doesn't specify the exact department, it states that Environmental Engineering is offered across various departments at IIT Patna, implying it's likely available within the Engineering disciplines."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The institute has introduced a “Flexible Credit System” that allows students to pace their academic journey by taking more or fewer credits per semester based on their individual capabilities and career goals. </CONTEXT> 
 <QUESTION> How might a student with demanding extracurricular activities benefit from the “Flexible Credit System” ? </QUESTION>",A student with demanding extracurricular activities could take fewer credits per semester to balance their academic workload with their other commitments.
Which industry partners are identified as collaborators with IIT Patna's CSE department?,"The industry partners collaborating with IIT Patna's CSE department are Microsoft, Samsung, LG-Soft, Wipro, Flipkart, CRISIL, Sony, Accenture, Simnovus, and CDAC."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna’s year-round fest cycle begins with Anwesha (Jan/Feb), a techno-cultural extravaganza featuring 50+ events like hackathons and pro-nites, followed by Celesta (Nov), the technical fest with AI/robotics competitions. Infinito (Oct) hosts inter-college sports tournaments, while Reverberance (Diwali season) blends traditional rangoli contests with modern dance battles. The academic year concludes with the Inter-IIT Cultural Meet (Dec), uniting 3,850+ students from 23 IITs for national-level competitions. First-years experience Nebula (Aug), a talent showcase with mystery mazes, while TEDxIITPatna (Sept) bridges academia and societal issues through talks. </CONTEXT> 
 <QUESTION> When does Celesta, the technical fest, take place, and what specific types of competitions are featured? </QUESTION>",Celesta takes place in November and features competitions focused on Artificial Intelligence and robotics.
Is participation in the EAA program optional for IIT Patna students?,"No, participation in one of the EAA activities is mandatory for students during their first year."
What specific type of materials are included in the digital repositories provided by the library?,The digital repositories include research papers and theses.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna's campus includes recreational spaces like an open-air amphitheater where students gather for cultural events, movie screenings, and informal discussions. The amphitheater is also used during fests like Anwesha and Celesta for live performances. </CONTEXT> 
 <QUESTION> Describe the setting of the events held at the amphitheater. </QUESTION>","The setting is an open-air environment, providing a space for large gatherings and performances."
What are the three specialized streams offered in the M.Tech program in Mechanical Engineering at IIT Patna?,"The three specialized streams offered are Thermo-fluids, Solid Mechanics & Design, and Manufacturing."
Which course concentrates on the use of spectroscopic techniques to determine the structure of molecules at IIT Patna?,Spectroscopic Techniques in Structure Determination is the course that uses spectroscopic techniques for structure determination.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The Civil and Environmental Engineering department at IIT Patna is committed to providing holistic and enriching training to students, with numerous ongoing/approved projects and consultancy works, continuously upgrading experimental and computational facilities to stay at the forefront of civil engineering education. </CONTEXT> 
 <QUESTION> What impact does the department aim to have on its students? </QUESTION>","The department aims to have a holistic and enriching impact on the students, preparing them for their careers in civil and environmental engineering."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna offers elective courses in foreign languages such as German, French, Japanese, and Mandarin. These courses help students enhance their global employability skills and prepare for international exchange programs or internships. </CONTEXT> 
 <QUESTION> What type of skills do students gain through these foreign language courses? </QUESTION>","Students gain global employability skills, preparing them for a more international and diverse job market."
What is the benefit of presenting research at international conferences within the URA program?,"Presenting at international conferences provides students with opportunities to share their findings, receive feedback, network with experts, and gain exposure to the broader research community."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> ""Anwesha,"" IIT Patna's cultural fest, is known for its vibrant atmosphere with events like fashion shows, dance competitions, music performances, and art exhibitions. The fest also includes technical workshops and competitions to blend creativity with innovation. </CONTEXT> 
 <QUESTION> Describe the general atmosphere of Anwesha, the IIT Patna cultural fest. </QUESTION>","Anwesha is known for its vibrant atmosphere, indicating a lively and energetic environment."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna has introduced several interdisciplinary M.Tech programs such as Data Science for Engineers, Computational Mechanics, and Energy Systems Engineering. These programs are tailored to meet the growing demand for professionals with expertise across multiple domains. </CONTEXT> 
 <QUESTION> Could you describe the nature of the M.Tech programs offered by IIT Patna that are mentioned in the context? </QUESTION>","IIT Patna offers interdisciplinary M.Tech programs, meaning they integrate knowledge and skills from multiple fields of study rather than being solely focused on a single discipline."
What is the primary criterion used to determine eligibility for the merit-cum-means scholarships?,Eligibility is determined based on a combination of merit (academic performance) and financial need (means).
What specific type of students are these topics introduced to?,The topics are introduced to students of CS511.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna has a dedicated Artificial Intelligence and Machine Learning lab equipped with high-performance GPUs and cloud computing access. Students work on projects like natural language processing (NLP), computer vision applications, and predictive analytics for real-world problems. </CONTEXT> 
 <QUESTION> What is the primary focus of the projects undertaken by students in the IIT Patna AI and ML lab? </QUESTION>",Students work on projects related to real-world problems.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The academic programs at IIT Patna emphasize a balance between core subjects and electives. Students can choose electives from diverse fields such as humanities, social sciences, management, and emerging technologies like machine learning and blockchain. These electives enable students to explore interdisciplinary interests. </CONTEXT> 
 <QUESTION> Provide two examples of emerging technologies in which IIT Patna offers electives. </QUESTION>",Machine learning and blockchain are examples of emerging technologies offered as electives at IIT Patna.
How do alumni leverage their professional positions to benefit current students within the scope of the institute?,Alumni leverage their companies or organizations to provide internship opportunities to current students.
Who are the facilitators of these doubt-clearing sessions?,The doubt-clearing sessions are conducted by senior students.
"What is the abbreviation used in the context for ""Bioinformatics Tools""?","The abbreviation used for ""Bioinformatics Tools"" is BIT."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna’s Mathematics department offers advanced courses like Computational Algebraic Geometry, Stochastic Processes Analysis, Mathematical Modeling of Complex Systems, and Cryptography Algorithms Development. </CONTEXT> 
 <QUESTION> What kind of process analysis is covered in one of the advanced courses? </QUESTION>",Stochastic Processes Analysis is covered in one of the advanced courses.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The Computer Systems Lab-1 (CS559) in the M.Tech CSE program at IIT Patna is a practical course worth 0-0-3-3 credits that teaches students the fundamentals of OS programming, process creation and synchronization, shared memory and semaphore implementation, shell programming, socket programming, and database creation. </CONTEXT> 
 <QUESTION> What is the primary area of focus of the OS programming component taught in CS559? </QUESTION>",The primary area of focus of the OS programming component is the fundamentals.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The institute encourages innovation through its Tinkerer's Lab—a student-driven space equipped with tools like 3D printers, laser cutters, Arduino kits, and soldering stations for hardware prototyping. Students can work on personal or collaborative projects here. </CONTEXT> 
 <QUESTION> What is the primary purpose of the tools available in the Tinkerer's Lab? </QUESTION>",The tools are primarily intended for hardware prototyping.
Which course from Group B electives at IIT Patna focuses on advanced analytical techniques?,Finite Element Analysis (ME533) is one of the Group B electives that would likely focus on advanced analytical techniques.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> A unique offering at IIT Patna is the integrated B.Tech-MBA program in collaboration with IIM Bodh Gaya. Students can pursue dual degrees in fields like Digital Business Management or Hospital & Healthcare Management alongside their engineering studies. </CONTEXT> 
 <QUESTION> Is the engineering portion of the program a generalized or specialized B.Tech? (The context does not specify, so a reasonable answer could be provided based on general knowledge.) </QUESTION>","The context does not specify, however it is likely that the B.Tech degree is in a specific engineering discipline, not a generalized one."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna offers PhD programs across engineering disciplines as well as interdisciplinary areas like computational neuroscience and bioinformatics. Research scholars receive funding through fellowships provided by the institute or external agencies like CSIR and UGC. </CONTEXT> 
 <QUESTION> In what broad categories are IIT Patna's PhD programs offered? </QUESTION>",The PhD programs are offered across engineering disciplines and interdisciplinary areas.
What is the course code for Project Thesis-II?,The course code for Project Thesis-II is CS696.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna has a well-equipped medical center with round-the-clock services for students' health needs. The center is staffed with qualified doctors and nurses, providing free consultations and basic treatments for common ailments. </CONTEXT> 
 <QUESTION> If a student needs medical assistance outside of the consultation and basic treatment, what options might exist, given this limited context? </QUESTION>","Based on this limited context, there isn't information about advanced treatments, suggesting referrals or outside assistance might be necessary for more serious medical needs."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The computer networks component of the Foundations of Computer Systems (CS-541) course at IIT Patna covers link layer protocols, local area networks (Ethernet and variants), routing, transport layer protocols, and concepts of distributed networked systems including virtualization, distributed file systems, and content networking. </CONTEXT> 
 <QUESTION> Is the computer networks component a standalone course, or is it a part of a larger course? </QUESTION>","The computer networks component is a part of the larger ""Foundations of Computer Systems (CS-541)"" course."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The institute offers dual-degree programs where students can earn both a BTech and an MTech degree in five years. These programs are available in select disciplines such as Computer Science & Engineering and Electrical Engineering, enabling students to gain advanced knowledge in their field. </CONTEXT> 
 <QUESTION> Can students choose any discipline for the dual-degree program? </QUESTION>","No, students cannot choose any discipline; the programs are available only in select disciplines, as specified."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna's Electrical Engineering department hosts a Centre of Excellence in Teaching Learning Centre for Internet-of-Things (IoT), Smart Grid, and Smart Building sponsored by the Department of Higher Education, MHRD, providing unique opportunities for electrical engineering graduates and teachers to participate in IoT-related projects. </CONTEXT> 
 <QUESTION> Which government department sponsors the Centre of Excellence? </QUESTION>","The Department of Higher Education, MHRD sponsors the Centre of Excellence."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna has a dedicated Center for Energy and Environment that focuses on research in sustainable technologies. The center conducts projects on solar energy systems, biofuels, energy-efficient building designs, and waste management solutions. Students can participate in these projects as part of their coursework or internships. </CONTEXT> 
 <QUESTION> How can students get involved in the projects at the Center for Energy and Environment at IIT Patna? </QUESTION>",Students can participate in the projects as part of their coursework or internships.
Who staffs the medical center?,The medical center is staffed with qualified doctors and nurses.
Name a course that focuses on communication skills offered by the Department of Humanities and Social Sciences at IIT Patna.,Technical Communication is a course that focuses on communication skills.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The marking scheme for laboratory courses at IIT Patna includes continuous evaluation based on weekly experiments, lab reports, viva voce sessions, and end-semester practical exams. This ensures that students develop hands-on expertise in their respective fields. </CONTEXT> 
 <QUESTION> What is the overarching goal of this multi-faceted assessment scheme for laboratory courses at IIT Patna? </QUESTION>",The overarching goal is to ensure that students develop hands-on expertise in their respective fields.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna's ""Apeireon"" fest is dedicated to competitive programming and coding challenges. Events include Capture the Flag (CTF), debugging contests, algorithm design competitions, and hackathons that attract participants from across the globe. </CONTEXT> 
 <QUESTION> What is the broad category of events in which algorithm design competitions belong in the context of the ""Apeireon"" fest? </QUESTION>","Algorithm design competitions are examples of coding challenges offered during the ""Apeireon"" fest."
What specific aspect of building design is the Center researching to improve energy efficiency?,The Center researches energy-efficient building designs.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The second semester of M.Tech CSE at IIT Patna includes the core theory course Foundations of Theoretical Computer Science (CS511), which covers discrete structures, logic, automata and languages, and computability theory, including topics like Church-Turing thesis and Hilbert's problem[1]. </CONTEXT> 
 <QUESTION> What is one specific example of a concept covered under computability theory in the CS511 course? </QUESTION>",One specific concept covered under computability theory in CS511 is the Church-Turing thesis.
"Are the participating companies primarily from one specific sector, or do they represent a diverse range of industries?","The companies represent a diverse range of industries: Google (technology), Tata Steel (manufacturing/steel), and Infosys (IT services)."
Which two advanced Civil Engineering courses at IIT Patna are dedicated to the management of water resources?,"Water Supply and Wastewater Engineering, and Water Resources Engineering are the two advanced courses at IIT Patna dedicated to the management of water resources."
"Who are the typical visitors of TechExpo, beyond students and faculty, and what is their main objective in attending?","Industry representatives are the typical visitors, with their main objective being to scout for potential collaborations with the student projects."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The institute has an active Women’s Cell that organizes events promoting gender equality and awareness about women’s rights. It also provides a safe space for female students to discuss issues related to academics or personal challenges. </CONTEXT> 
 <QUESTION> What is the primary function of the Women's Cell within the institute? </QUESTION>",The primary function of the Women's Cell is to organize events that promote gender equality and raise awareness about women's rights.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna's Electrical Engineering department offers specialized electives such as Smart Grid Technology, Renewable Energy Systems Design, Power Electronics Applications, and Embedded Systems Programming to keep students updated with industry trends. </CONTEXT> 
 <QUESTION> What specific industry trends is the Electrical Engineering department at IIT Patna aiming to address with its specialized electives? </QUESTION>",The Electrical Engineering department at IIT Patna aims to keep students updated with industry trends by offering specialized electives that directly relate to current technological advancements and demands.
Can you describe the core subject areas one might expect to find in the Computer Science & Data Analytics B.Sc (Hons) program?,"The program would likely encompass core computer science topics like programming, algorithms, and data structures, combined with data analytics topics like statistical analysis, machine learning, and data visualization."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> Each course at IIT Patna is assigned a specific number of credits based on the number of lecture hours, tutorials, and laboratory sessions per week. For example, a 3-credit course typically involves three hours of lectures per week, while laboratory courses may have higher credit weightage due to hands-on work. </CONTEXT> 
 <QUESTION> Does the credit assignment system at IIT Patna consider the intensity of tutorials? </QUESTION>","Yes, the number and duration of tutorials contribute to the total credit assignment of a course."
What type of engineering design is the Power Electronics Design course at IIT Patna Electrical Engineering department focused on?,"The Power Electronics Design course focuses on the design and analysis of electronic circuits that control and convert electrical power, crucial for various applications such as power supplies, motor drives, and renewable energy systems."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna encourages collaborative learning through group assignments and team-based projects across all programs. These activities are designed to enhance problem-solving skills, communication abilities, and teamwork among students. </CONTEXT> 
 <QUESTION> Besides problem-solving, what other skill is enhanced through the group activities at IIT Patna? </QUESTION>",Communication abilities are enhanced through the group activities.
Which course among the Group C electives focuses on computational methods for solving differential equations?,The course Computational Differential Equations (MA504) focuses on computational methods for solving differential equations.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna's annual Research Symposium provides a platform for students to present their academic projects to industry experts and academicians from other IITs or universities abroad. Awards are given for the best presentations in each discipline. </CONTEXT> 
 <QUESTION> What specific group of people evaluate the student projects during the symposium? </QUESTION>","Industry experts and academicians, including those from other IITs and universities abroad, evaluate the student projects."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The curriculum at IIT Patna includes mandatory internship programs for undergraduate students during their summer breaks after the second or third year. These internships can be pursued in industries or research institutions either in India or abroad. </CONTEXT> 
 <QUESTION> Can you specify the type of organizations that are acceptable for IIT Patna students' internships? </QUESTION>",Acceptable organizations are industries or research institutions.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna encourages students to participate in international conferences to present their research work. Travel grants are provided by the institute to eligible students who have their papers accepted at reputed conferences worldwide. </CONTEXT> 
 <QUESTION> To which type of conferences do the papers need to be accepted for grant eligibility? </QUESTION>",Reputed conferences worldwide.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The attendance policy at IIT Patna mandates a minimum of 75% attendance in lectures, tutorials, labs, seminars, and other academic activities to qualify for end-semester exams. Students failing to meet this requirement receive an ""F"" grade for the course and are debarred from exams. </CONTEXT> 
 <QUESTION> What is the primary purpose of the attendance policy at IIT Patna, as implied by the context? </QUESTION>","The primary purpose, as implied, is to ensure student participation and engagement in academic activities, ultimately impacting their eligibility for end-semester exams."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The institute has a dedicated “Center for Energy and Environment” that focuses on research and teaching in renewable energy technologies, sustainable urban planning, and climate change mitigation strategies. </CONTEXT> 
 <QUESTION> Besides research, what key activity is undertaken by the ""Center for Energy and Environment""? </QUESTION>","Besides research, the center also focuses on teaching."
"Specifically, what types of events are held at the open-air amphitheater?","The amphitheater hosts cultural events, movie screenings, informal discussions, and live performances."
What is the implicit aim of the requirement to publish research findings?,The implicit aim is to contribute to the advancement of knowledge and to disseminate research findings within the relevant field of study.
"Which elective focuses on enabling computers to ""see"" and interpret images?","The Computer Vision elective focuses on enabling computers to ""see"" and interpret images."
What is an example of an advanced instrument used in the electronics labs at IIT Patna?,An oscilloscope is an example of an advanced instrument used in the electronics labs at IIT Patna.
Which specific organizations are mentioned as top recruiters at IIT Patna?,"The top recruiters mentioned are Google, Microsoft, Amazon, Tata Steel, Qualcomm, and DRDO."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna has a well-structured academic calendar that includes mid-semester breaks, examination periods, and designated time for extracurricular activities. This balanced schedule ensures students have time to focus on academics while also engaging in personal development and recreation. </CONTEXT> 
 <QUESTION> What type of activities does the IIT Patna calendar provide time for beyond academics? </QUESTION>","The calendar allots time for extracurricular activities, offering students a chance to participate in non-academic pursuits."
